Time,Open,High,Low,Last,Change,Volume,"Open Int"
NQH20,"02/19/2020 13:33",9739.75,9741.5,9739.25,9739.5,-0.25,342,N/A
NQH20,"02/19/2020 13:32",9740.5,9741,9739.5,9739.75,-0.5,212,N/A
NQH20,"02/19/2020 13:31",9740.75,9741,9740.25,9740.25,-0.5,316,N/A
NQH20,"02/19/2020 13:30",9739.75,9740.75,9739.25,9740.75,1,392,N/A
NQH20,"02/19/2020 13:29",9739.5,9740.5,9739.25,9739.75,0.25,307,N/A
NQH20,"02/19/2020 13:28",9739.5,9739.75,9738.5,9739.5,0.25,253,N/A
NQH20,"02/19/2020 13:27",9738.5,9739.75,9737,9739.25,0.5,427,N/A
NQH20,"02/19/2020 13:26",9738.75,9739.25,9738.25,9738.75,0.25,118,N/A
NQH20,"02/19/2020 13:25",9739.25,9739.75,9738,9738.5,-0.75,238,N/A
NQH20,"02/19/2020 13:24",9738,9739.75,9738,9739.25,1,196,N/A
NQH20,"02/19/2020 13:23",9739.5,9739.75,9737.5,9738.25,-1.5,396,N/A
NQH20,"02/19/2020 13:22",9740.25,9740.25,9739.25,9739.75,-0.25,195,N/A
NQH20,"02/19/2020 13:21",9739,9741.25,9739,9740,1,372,N/A
NQH20,"02/19/2020 13:20",9740.25,9740.5,9738.5,9739,-1.25,414,N/A
NQH20,"02/19/2020 13:19",9741.5,9741.5,9739.25,9740.25,-1.5,317,N/A
NQH20,"02/19/2020 13:18",9741.5,9742,9741,9741.75,0,259,N/A
NQH20,"02/19/2020 13:17",9741.5,9742.25,9740.25,9741.75,0.25,464,N/A
NQH20,"02/19/2020 13:16",9741.75,9742.5,9741.25,9741.5,-0.25,459,N/A
NQH20,"02/19/2020 13:15",9739.5,9741.75,9739.5,9741.75,1.75,368,N/A
NQH20,"02/19/2020 13:14",9739.25,9740.75,9739.25,9740,0.75,423,N/A
NQH20,"02/19/2020 13:13",9738.75,9740.25,9738.75,9739.25,0.5,254,N/A
NQH20,"02/19/2020 13:12",9738.75,9739.5,9738.75,9738.75,-0.25,227,N/A
NQH20,"02/19/2020 13:11",9738.75,9740.25,9738.5,9739,0.25,473,N/A
NQH20,"02/19/2020 13:10",9740.75,9740.75,9737.5,9738.75,-2,569,N/A
NQH20,"02/19/2020 13:09",9740,9741.25,9739.25,9740.75,0.5,589,N/A
NQH20,"02/19/2020 13:08",9740.5,9741.75,9740,9740.25,-0.25,577,N/A
NQH20,"02/19/2020 13:07",9739.5,9740.75,9739,9740.5,1,1176,N/A
NQH20,"02/19/2020 13:06",9738.75,9739.75,9738.5,9739.5,0.5,593,N/A
NQH20,"02/19/2020 13:05",9736,9739.75,9735.25,9739,3,914,N/A
NQH20,"02/19/2020 13:04",9734.5,9737.75,9734.25,9736,1.5,800,N/A
NQH20,"02/19/2020 13:03",9732.5,9735.25,9732,9734.5,2,633,N/A
NQH20,"02/19/2020 13:02",9730.75,9732.5,9729.25,9732.5,1.75,758,N/A
NQH20,"02/19/2020 13:01",9736,9736.25,9730.75,9730.75,-5.5,1120,N/A
NQH20,"02/19/2020 13:00",9734.75,9738.25,9729.5,9736.25,1.25,1044,N/A
NQH20,"02/19/2020 12:59",9733.25,9735,9733,9735,2,230,N/A
NQH20,"02/19/2020 12:58",9735.75,9736,9732.25,9733,-3,689,N/A
NQH20,"02/19/2020 12:57",9736.25,9736.75,9735.75,9736,-0.25,103,N/A
NQH20,"02/19/2020 12:56",9737.25,9737.25,9736,9736.25,-1,206,N/A
NQH20,"02/19/2020 12:55",9736.75,9737.75,9736.5,9737.25,0.25,316,N/A
NQH20,"02/19/2020 12:54",9736.5,9737,9735.75,9737,0.5,324,N/A
NQH20,"02/19/2020 12:53",9735.25,9736.75,9735.25,9736.5,1,200,N/A
NQH20,"02/19/2020 12:52",9736.5,9736.5,9735.5,9735.5,-0.75,216,N/A
NQH20,"02/19/2020 12:51",9736.75,9737,9735.75,9736.25,-0.5,173,N/A
NQH20,"02/19/2020 12:50",9736.5,9737,9736,9736.75,0.25,268,N/A
NQH20,"02/19/2020 12:49",9737.75,9738,9736.5,9736.5,-1,231,N/A
NQH20,"02/19/2020 12:48",9738,9738.25,9737.25,9737.5,-0.5,265,N/A
NQH20,"02/19/2020 12:47",9738,9738.5,9737,9738,-0.25,321,N/A
NQH20,"02/19/2020 12:46",9736.5,9739,9736.25,9738.25,1.75,492,N/A
NQH20,"02/19/2020 12:45",9735,9736.75,9735,9736.5,1.25,277,N/A
NQH20,"02/19/2020 12:44",9734.75,9735.5,9734.5,9735.25,0.25,220,N/A
NQH20,"02/19/2020 12:43",9734.25,9735,9734,9735,0.75,137,N/A
NQH20,"02/19/2020 12:42",9734,9734.25,9733.5,9734.25,0.25,145,N/A
NQH20,"02/19/2020 12:41",9734.25,9734.75,9734,9734,-0.5,85,N/A
NQH20,"02/19/2020 12:40",9734,9734.75,9733.5,9734.5,0.5,277,N/A
NQH20,"02/19/2020 12:39",9734.5,9735,9733.75,9734,-0.5,252,N/A
NQH20,"02/19/2020 12:38",9734.75,9735,9733.5,9734.5,0,710,N/A
NQH20,"02/19/2020 12:37",9734.25,9734.5,9734,9734.5,0.25,128,N/A
NQH20,"02/19/2020 12:36",9735.75,9736,9733.5,9734.25,-1.5,367,N/A
NQH20,"02/19/2020 12:35",9735.5,9736.5,9735.25,9735.75,0.25,245,N/A
NQH20,"02/19/2020 12:34",9733.75,9735.75,9733,9735.5,2,400,N/A
NQH20,"02/19/2020 12:33",9735.5,9736,9733.5,9733.5,-2,240,N/A
NQH20,"02/19/2020 12:32",9736.25,9736.25,9735.25,9735.5,-0.75,108,N/A
NQH20,"02/19/2020 12:31",9736,9736.5,9734.75,9736.25,0.25,217,N/A
NQH20,"02/19/2020 12:30",9736.25,9736.25,9735.25,9736,-0.25,165,N/A
NQH20,"02/19/2020 12:29",9736.25,9736.25,9735.25,9736.25,0,196,N/A
NQH20,"02/19/2020 12:28",9735.5,9736.5,9735,9736.25,0.75,203,N/A
NQH20,"02/19/2020 12:27",9734.5,9735.75,9734.5,9735.5,1,186,N/A
NQH20,"02/19/2020 12:26",9734,9735.25,9733.75,9734.5,0.5,301,N/A
NQH20,"02/19/2020 12:25",9733.5,9734.25,9733.5,9734,0.5,176,N/A
NQH20,"02/19/2020 12:24",9734,9734.5,9733.25,9733.5,-0.5,193,N/A
NQH20,"02/19/2020 12:23",9733.25,9734.25,9733.25,9734,0.5,195,N/A
NQH20,"02/19/2020 12:22",9735.25,9735.25,9733,9733.5,-1.75,489,N/A
NQH20,"02/19/2020 12:21",9736,9736.5,9735.25,9735.25,-1,229,N/A
NQH20,"02/19/2020 12:20",9737,9737.5,9736,9736.25,-1,343,N/A
NQH20,"02/19/2020 12:19",9736.75,9737.25,9736,9737.25,0.5,315,N/A
NQH20,"02/19/2020 12:18",9736,9737,9735.5,9736.75,0.75,383,N/A
NQH20,"02/19/2020 12:17",9736,9736.25,9735.5,9736,0,249,N/A
NQH20,"02/19/2020 12:16",9736,9737,9735.25,9736,0,369,N/A
NQH20,"02/19/2020 12:15",9734.75,9736.5,9734.25,9736,1.25,385,N/A
NQH20,"02/19/2020 12:14",9734.25,9735,9733.75,9734.75,0.5,331,N/A
