Time,Open,High,Low,Last,Change,Volume,"Open Int"
"10/08/2020 14:23",11524.75,11530.75,11524.25,11528.5,4,553,N/A
"10/08/2020 14:22",11522.75,11526.5,11519.25,11524.5,2,547,N/A
"10/08/2020 14:21",11516,11523,11513,11522.5,6.25,681,N/A
"10/08/2020 14:20",11520,11520.5,11515,11516.25,-3.5,497,N/A
"10/08/2020 14:19",11519,11521.25,11517,11519.75,1,378,N/A
"10/08/2020 14:18",11521.5,11521.5,11516,11518.75,-3.25,462,N/A
"10/08/2020 14:17",11518.75,11523.75,11513.75,11522,3.25,707,N/A
"10/08/2020 14:16",11525,11528.5,11518.25,11518.75,-6.25,549,N/A
"10/08/2020 14:15",11527.25,11529.5,11524.5,11525,-2.5,397,N/A
"10/08/2020 14:14",11530.25,11530.5,11526,11527.5,-2.75,284,N/A
"10/08/2020 14:13",11533,11533,11528.75,11530.25,-3.25,406,N/A
"10/08/2020 14:12",11525.25,11534.75,11525.25,11533.5,8.5,844,N/A
"10/08/2020 14:11",11519,11526.5,11516.75,11525,5.75,616,N/A
"10/08/2020 14:10",11518,11522.25,11517,11519.25,1.5,464,N/A
"10/08/2020 14:09",11521.25,11521.25,11517.25,11517.75,-3.5,420,N/A
"10/08/2020 14:08",11522.25,11523,11520,11521.25,-1,272,N/A
"10/08/2020 14:07",11521.25,11522.75,11519.25,11522.25,1,307,N/A
"10/08/2020 14:06",11522.25,11525,11519.75,11521.25,-0.75,573,N/A
"10/08/2020 14:05",11519.5,11522.5,11514.5,11522,2.5,498,N/A
"10/08/2020 14:04",11522,11523.5,11518.5,11519.5,-2.75,384,N/A
"10/08/2020 14:03",11519,11522.75,11514.25,11522.25,2.5,600,N/A
"10/08/2020 14:02",11519.75,11521.25,11512.5,11519.75,-0.75,936,N/A
"10/08/2020 14:01",11531.5,11532.5,11515.25,11520.5,-11,1396,N/A
"10/08/2020 14:00",11534,11537.75,11531.5,11531.5,-3,488,N/A
"10/08/2020 13:59",11533.75,11536.75,11532.5,11534.5,1.25,312,N/A
"10/08/2020 13:58",11533,11533.5,11529.5,11533.25,0.5,195,N/A
"10/08/2020 13:57",11532.75,11534.5,11532.25,11532.75,-0.25,548,N/A
"10/08/2020 13:56",11530.75,11536,11530.5,11533,2.25,355,N/A
"10/08/2020 13:55",11533.75,11536.25,11528.5,11530.75,-3.25,519,N/A
"10/08/2020 13:54",11537.75,11537.75,11533,11534,-4,277,N/A
"10/08/2020 13:53",11533.75,11538,11533.5,11538,4.5,1250,N/A
"10/08/2020 13:52",11536.5,11536.75,11532.25,11533.5,-2.75,976,N/A
"10/08/2020 13:51",11536.75,11537.75,11535.25,11536.25,-0.25,712,N/A
"10/08/2020 13:50",11540.75,11541.5,11534.5,11536.5,-4.25,463,N/A
"10/08/2020 13:49",11539.25,11541.25,11538.5,11540.75,1.75,208,N/A
"10/08/2020 13:48",11537.25,11540.5,11533.25,11539,2,504,N/A
"10/08/2020 13:47",11541.75,11542,11536.75,11537,-4.5,534,N/A
"10/08/2020 13:46",11542.5,11544.25,11540.5,11541.5,-0.5,2231,N/A
"10/08/2020 13:45",11540,11544.25,11536.75,11542,2,703,N/A
"10/08/2020 13:44",11539,11542,11538.5,11540,0.75,487,N/A
"10/08/2020 13:43",11538.25,11540.5,11537.75,11539.25,1,287,N/A
"10/08/2020 13:42",11537.25,11540.75,11534.25,11538.25,1.25,529,N/A
"10/08/2020 13:41",11537.25,11538.75,11536.5,11537,0,210,N/A
"10/08/2020 13:40",11538.25,11539,11536,11537,-1.5,252,N/A
"10/08/2020 13:39",11534.75,11539.5,11534.75,11538.5,3.5,378,N/A
"10/08/2020 13:38",11533.25,11535.5,11532,11535,2.25,271,N/A
"10/08/2020 13:37",11532.5,11533.75,11531,11532.75,0.5,156,N/A
"10/08/2020 13:36",11532,11534.5,11530.25,11532.25,0.5,334,N/A
"10/08/2020 13:35",11535,11535.5,11527.75,11531.75,-3.25,672,N/A
"10/08/2020 13:34",11537,11539.75,11533.75,11535,-1.75,607,N/A
"10/08/2020 13:33",11532.25,11537.5,11532.25,11536.75,4.75,502,N/A
"10/08/2020 13:32",11533,11534.75,11531.25,11532,-0.5,374,N/A
"10/08/2020 13:31",11529.75,11533.5,11526,11532.5,3,434,N/A
"10/08/2020 13:30",11529.75,11532,11528.5,11529.5,0,379,N/A
"10/08/2020 13:29",11528.5,11529.75,11527.5,11529.5,2,205,N/A
"10/08/2020 13:28",11528.75,11529,11526,11527.5,-1.5,247,N/A
"10/08/2020 13:27",11530.25,11530.25,11526.5,11529,-1.25,376,N/A
"10/08/2020 13:26",11529.75,11532,11529,11530.25,0.25,192,N/A
"10/08/2020 13:25",11532,11532.5,11528.25,11530,-2,369,N/A
"10/08/2020 13:24",11532,11533.5,11531.25,11532,0,274,N/A
"10/08/2020 13:23",11531.75,11533.25,11530.75,11532,0,241,N/A
"10/08/2020 13:22",11533.75,11535.25,11531.75,11532,-1.75,416,N/A
"10/08/2020 13:21",11526.5,11534.25,11526.5,11533.75,7.25,611,N/A
"10/08/2020 13:20",11525.75,11527.75,11521.75,11526.5,0.5,405,N/A
"10/08/2020 13:19",11528.25,11528.75,11525.25,11526,-2.25,256,N/A
"10/08/2020 13:18",11527.25,11529,11526,11528.25,1.25,327,N/A
"10/08/2020 13:17",11526.5,11528.5,11526,11527,0.25,434,N/A
"10/08/2020 13:16",11525.75,11527,11524,11526.75,0.75,334,N/A
"10/08/2020 13:15",11520.75,11527,11519.5,11526,5,412,N/A
"10/08/2020 13:14",11521.5,11521.5,11519,11521,-0.75,281,N/A
"10/08/2020 13:13",11524.5,11525,11520,11521.75,-3.25,356,N/A
"10/08/2020 13:12",11524.25,11525,11522.5,11525,1,271,N/A
"10/08/2020 13:11",11522.75,11524.5,11521.5,11524,1.25,343,N/A
"10/08/2020 13:10",11523.75,11525,11522.25,11522.75,-1,457,N/A
"10/08/2020 13:09",11523.5,11524.5,11522.25,11523.75,0.5,367,N/A
"10/08/2020 13:08",11517,11523.75,11515,11523.25,6.25,735,N/A
"10/08/2020 13:07",11511.5,11517.5,11510.75,11517,5.5,581,N/A
"10/08/2020 13:06",11512,11513.5,11510.25,11511.5,-0.5,428,N/A
"10/08/2020 13:05",11508,11513.5,11504.5,11512,3.5,593,N/A
"10/08/2020 13:04",11507.75,11508.75,11505.5,11508.5,1,506,N/A
"10/08/2020 13:03",11508,11508.75,11505,11507.5,-0.5,403,N/A
"10/08/2020 13:02",11504.75,11509.5,11503.5,11508,3.25,518,N/A
"10/08/2020 13:01",11506.5,11511.25,11504.25,11504.75,-1.25,741,N/A
"10/08/2020 13:00",11506.5,11509,11501.25,11506,-0.5,998,N/A
"10/08/2020 12:59",11513.5,11514.5,11506,11506.5,-7.5,755,N/A
"10/08/2020 12:58",11515,11515.25,11509.5,11514,-1.25,633,N/A
"10/08/2020 12:57",11519.75,11519.75,11515,11515.25,-4,351,N/A
"10/08/2020 12:56",11522,11523.25,11516.25,11519.25,-2.5,390,N/A
"10/08/2020 12:55",11522.5,11523.25,11518.25,11521.75,-1,403,N/A
"10/08/2020 12:54",11525.25,11525.5,11521.5,11522.75,-2.75,409,N/A
"10/08/2020 12:53",11528.25,11529,11525.5,11525.5,-2.25,330,N/A
"10/08/2020 12:52",11524.75,11529.5,11524.25,11527.75,3,411,N/A
"10/08/2020 12:51",11525.25,11527.25,11524,11524.75,-0.25,370,N/A
"10/08/2020 12:50",11521.5,11525.5,11519.5,11525,3.25,427,N/A
