Time,Open,High,Low,Last,Change,Volume,"Open Int"
NQH20,"01/20/2020 06:10",9171,9171.25,9169.5,9169.75,-1,73,N/A
NQH20,"01/20/2020 06:09",9170.5,9171.25,9170.5,9170.75,0.5,27,N/A
NQH20,"01/20/2020 06:08",9169.5,9170.25,9169.5,9170.25,0.5,39,N/A
NQH20,"01/20/2020 06:07",9170.5,9171,9169.75,9169.75,-0.5,64,N/A
NQH20,"01/20/2020 06:06",9170.5,9170.75,9170.25,9170.25,-0.5,13,N/A
NQH20,"01/20/2020 06:05",9170.5,9170.75,9170.5,9170.75,0.25,30,N/A
NQH20,"01/20/2020 06:04",9170.5,9170.75,9170.25,9170.5,0,20,N/A
NQH20,"01/20/2020 06:03",9170.75,9171,9170.25,9170.5,-0.5,28,N/A
NQH20,"01/20/2020 06:02",9171,9171,9170.5,9171,-0.25,66,N/A
NQH20,"01/20/2020 06:01",9172.5,9172.5,9171.25,9171.25,-1.25,93,N/A
NQH20,"01/20/2020 06:00",9171.5,9172.75,9171,9172.5,1,280,N/A
NQH20,"01/20/2020 05:59",9168.75,9172,9168.75,9171.5,2.75,192,N/A
NQH20,"01/20/2020 05:58",9168.75,9168.75,9168.5,9168.75,0,20,N/A
NQH20,"01/20/2020 05:57",9168.75,9168.75,9168,9168.75,0,36,N/A
NQH20,"01/20/2020 05:56",9168.75,9169.25,9168.75,9168.75,-0.25,47,N/A
NQH20,"01/20/2020 05:55",9169,9170,9168.5,9169,-0.25,94,N/A
NQH20,"01/20/2020 05:54",9169.25,9169.5,9169,9169.25,0,36,N/A
NQH20,"01/20/2020 05:53",9169.25,9169.5,9169.25,9169.25,0,38,N/A
NQH20,"01/20/2020 05:52",9169,9169.5,9169,9169.25,0.25,33,N/A
NQH20,"01/20/2020 05:51",9169,9169,9168.75,9169,-0.25,14,N/A
NQH20,"01/20/2020 05:50",9169.25,9169.5,9169,9169.25,0,29,N/A
NQH20,"01/20/2020 05:49",9169.25,9169.25,9168.75,9169.25,0,40,N/A
NQH20,"01/20/2020 05:48",9169.5,9169.75,9169,9169.25,0,77,N/A
NQH20,"01/20/2020 05:47",9169.75,9169.75,9169.25,9169.25,-0.5,97,N/A
NQH20,"01/20/2020 05:46",9169.5,9170.5,9169.25,9169.75,0,199,N/A
NQH20,"01/20/2020 05:45",9167,9169.75,9166.75,9169.75,2.75,165,N/A
NQH20,"01/20/2020 05:44",9166.75,9167.5,9166.75,9167,0.25,28,N/A
NQH20,"01/20/2020 05:43",9166.75,9167,9166.25,9166.75,-0.25,63,N/A
NQH20,"01/20/2020 05:42",9167,9167,9167,9167,0,11,N/A
NQH20,"01/20/2020 05:41",9167,9167.5,9166.75,9167,0,24,N/A
NQH20,"01/20/2020 05:40",9167.75,9167.75,9167,9167,-0.5,54,N/A
NQH20,"01/20/2020 05:39",9167.5,9167.75,9167.5,9167.5,0,19,N/A
NQH20,"01/20/2020 05:38",9167.5,9167.5,9167.5,9167.5,-0.25,2,N/A
NQH20,"01/20/2020 05:37",9167.25,9168,9167.25,9167.75,0.5,34,N/A
